year,customer_id,phone_no,gender,age,no_of_days_subscribed,multi_screen,mail_subscribed,weekly_mins_watched,minimum_daily_mins,maximum_daily_mins,weekly_max_night_mins,videos_watched,maximum_days_inactive,customer_support_calls,churn
2020,100198,409-8743,0,36,62,0,0,148.35,12.2,16.81,82,1,4.0,1,0.0
2020,100643,340-5930,0,39,149,0,0,294.45,7.7,33.37,87,3,3.0,2,0.0
2020,100756,372-3750,0,65,126,0,0,87.3,11.9,9.89,91,1,4.0,5,1.0
2020,101595,331-4902,0,24,131,0,1,321.3,9.5,36.41,102,4,3.0,3,0.0
2020,101653,351-8398,0,40,191,0,0,243.0,10.9,27.54,83,7,3.0,1,0.0
2020,101953,329-6603,1,31,65,0,0,193.65,12.7,21.95,111,6,4.0,4,1.0
2020,103051,416-1845,1,54,59,0,0,239.25,10.2,27.12,106,4,3.0,0,0.0
2020,103225,348-7193,0,40,50,0,0,196.65,5.6,22.29,88,9,3.0,5,1.0
2020,103408,413-4039,1,61,205,0,1,263.7,7.8,29.89,64,5,3.0,2,0.0
2020,103676,338-5207,1,31,63,0,0,316.8,12.3,35.9,58,2,4.0,0,0.0
2020,103697,411-9554,1,34,114,0,1,338.7,8.4,38.39,100,9,3.0,4,0.0
2020,103738,392-5296,1,34,107,0,0,201.0,7.3,22.78,79,3,2.0,3,0.0
2020,104025,380-6722,0,30,84,0,0,112.95,12.3,12.8,134,1,4.0,1,0.0
2020,104904,337-1151,0,23,142,0,0,218.1,10.9,24.72,96,1,3.0,1,0.0
2020,106264,357-3187,0,21,137,0,0,313.2,11.1,35.5,130,5,3.0,0,0.0
2020,106415,364-2166,1,30,100,0,1,328.05,12.1,37.18,117,4,4.0,1,0.0
2020,106723,336-9390,1,44,84,0,0,239.25,7.2,27.12,82,4,2.0,2,0.0
2020,107195,386-9981,0,45,99,0,0,300.0,11.4,34.0,82,2,4.0,3,0.0
2020,107251,339-1330,1,39,115,0,0,367.5,13.7,41.65,124,8,4.0,1,1.0
2020,107707,408-3532,0,59,194,0,0,72.6,18.2,8.23,87,1,5.0,1,0.0
2020,107962,356-7217,1,57,104,0,0,246.3,10.7,27.91,117,8,3.0,1,0.0
2020,108471,366-4444,1,32,170,0,0,369.6,9.1,41.89,95,8,3.0,0,0.0
2020,108519,408-6326,0,45,76,0,0,395.1,11.4,44.78,101,5,4.0,1,1.0
2020,108763,407-8376,1,32,94,0,0,206.25,13.4,23.38,131,2,4.0,0,0.0
2020,108810,399-9802,0,36,81,0,1,251.85,9.2,28.54,103,6,3.0,4,1.0
2020,108961,373-5732,1,50,137,0,0,363.15,14.7,41.16,50,2,4.0,3,0.0
2020,109133,352-5118,1,28,119,1,1,240.0,8.7,27.2,107,5,3.0,5,1.0
2020,110920,363-8715,1,37,138,0,1,275.85,15.0,31.26,125,3,5.0,1,0.0
2020,111051,332-3642,0,44,124,0,0,197.7,11.3,22.41,101,2,4.0,1,0.0
2020,111118,418-8450,1,37,48,0,1,346.35,7.6,39.25,87,4,3.0,3,0.0
2020,111252,410-9633,0,63,106,0,0,280.65,11.0,31.81,81,3,3.0,1,0.0
2020,111338,351-7269,1,45,161,0,0,499.35,5.4,56.59,128,9,2.0,4,1.0
2020,111935,414-9119,1,33,89,0,0,123.45,7.2,13.99,70,4,2.0,1,0.0
2020,112023,405-4109,0,34,105,1,1,234.15,14.7,26.54,95,3,4.0,0,1.0
2020,112029,366-5241,0,32,59,0,0,273.75,11.3,31.03,100,8,4.0,4,0.0
2020,112607,395-5783,0,32,81,0,0,218.1,5.2,24.72,109,4,2.0,1,0.0
2020,112612,373-8895,1,35,67,0,0,228.75,4.9,25.93,104,3,2.0,2,0.0
2020,113139,398-7978,1,52,129,0,0,324.0,4.9,36.72,109,10,2.0,2,0.0
2020,113990,331-5919,1,48,56,0,0,205.8,14.3,23.32,72,4,4.0,1,0.0
2020,114301,409-2111,1,30,62,0,0,220.65,12.2,25.01,115,3,4.0,0,0.0
2020,114359,340-4236,1,55,95,0,1,391.2,10.1,44.34,97,5,3.0,1,0.0
2020,114545,337-1506,0,44,76,0,0,336.6,6.7,38.15,74,2,2.0,2,0.0
2020,114687,345-1243,0,31,37,0,0,286.65,12.9,32.49,117,1,4.0,0,0.0
2020,114709,333-7631,0,41,80,0,0,483.45,6.7,54.79,123,8,2.0,0,1.0
2020,114846,391-5442,0,43,190,0,0,254.1,8.9,28.8,93,5,3.0,1,0.0
2020,114864,339-9026,0,45,168,0,1,146.1,11.4,16.56,124,2,4.0,2,0.0
2020,115639,416-5849,0,39,166,1,1,192.3,8.8,21.79,130,7,3.0,2,0.0
2020,115913,364-6801,0,38,42,0,0,361.8,10.6,41.0,91,4,3.0,0,0.0
2020,116388,362-4596,1,43,96,0,0,390.6,11.5,44.27,87,4,4.0,5,0.0
2020,116710,400-7002,0,26,76,1,0,409.95,12.0,46.46,84,7,4.0,1,1.0
2020,116745,379-8805,1,29,94,0,0,285.9,7.5,32.4,97,5,3.0,1,0.0
2020,117055,356-2992,1,45,76,0,1,284.55,10.0,32.25,108,5,3.0,1,0.0
2020,117454,408-4174,0,26,77,0,0,244.5,6.7,27.71,66,3,2.0,2,0.0
2020,117625,353-2450,1,36,54,0,1,168.0,11.3,19.04,83,4,4.0,2,0.0
2020,117807,378-7733,1,31,41,0,0,238.95,11.1,27.08,76,5,3.0,1,0.0
2020,117900,358-3261,1,30,53,0,1,218.55,13.1,24.77,96,5,4.0,3,0.0
